InteractionID;UserID;SessionDuration (secs);QueryType;ResponseTime (secs);SatisfactionRating;ResolvedQuery;SentimentScore;IntentConfidence (%);ResponseLength (words);Language;ChatbotVersion;Escalation;InteractionDate;EfficiencyScore
1;4174;127;General Query;1;4;Yes;0.9;81.49;80;German;v1.0;No;01/01/2023 00:00;9.75
2;4507;170;Technical Support;5;5;Yes;0.42;84.27;80;Spanish;v1.1;No;01/01/2023 01:00;9.93
3;1860;93;Technical Support;8;5;Yes;-0.97;64.5;58;English;v1.0;No;01/01/2023 02:00;7.65
4;2294;76;Technical Support;2;2;Yes;-0.81;63.42;8;English;v2.0;No;01/01/2023 03:00;7.24
5;2130;354;General Query;1;3;Yes;0.92;81.32;73;Spanish;v2.0;No;01/01/2023 04:00;9.43
6;2095;271;Product Inquiry;5;4;Yes;-0.32;75.74;54;English;v2.0;No;01/01/2023 05:00;8.77
7;4772;273;Product Inquiry;1;4;No;-0.22;83.84;53;English;v2.0;No;01/01/2023 06:00;9.48
8;4092;404;Feedback;6;3;Yes;-0.64;51.03;73;English;v1.1;No;01/01/2023 07:00;5.9
9;2638;475;General Query;9;5;Yes;-0.97;57.47;33;French;v1.1;No;01/01/2023 08:00;6.85
10;3169;278;Product Inquiry;8;5;Yes;-0.81;97.01;8;English;v2.1;No;01/01/2023 09:00;10.9
11;1466;484;General Query;6;3;Yes;-0.99;77.68;46;English;v2.0;No;01/01/2023 10:00;8.57
12;2238;53;Product Inquiry;4;3;Yes;0.87;98.34;21;English;v1.0;No;01/01/2023 11:00;10.83
13;1330;514;General Query;7;2;No;0.42;78.73;91;English;v2.0;No;01/01/2023 12:00;7.77
14;2482;345;Technical Support;6;3;Yes;-0.48;89.48;81;Spanish;v2.0;No;01/01/2023 13:00;9.75
15;3135;257;General Query;7;4;Yes;-0.51;78.18;79;English;v2.0;No;01/01/2023 14:00;8.82
16;4444;560;Product Inquiry;2;2;Yes;-0.19;71.34;78;English;v2.0;No;01/01/2023 15:00;8.03
17;4171;485;Product Inquiry;7;2;Yes;-0.39;58.43;37;English;v2.1;No;01/01/2023 16:00;6.24
18;3919;323;Feedback;4;2;Yes;0.65;65.85;96;English;v2.0;No;01/01/2023 17:00;7.28
19;4735;136;Technical Support;5;5;Yes;-0.86;90.82;25;English;v2.0;No;01/01/2023 18:00;10.58
20;1130;226;General Query;7;4;Yes;-0.66;54.86;35;English;v2.0;No;01/01/2023 19:00;6.49
21;2685;500;General Query;2;3;No;0.16;64.33;48;English;v2.1;Yes;01/01/2023 20:00;7.13
22;4380;422;Product Inquiry;1;5;No;-0.36;89.45;97;English;v1.1;No;01/01/2023 21:00;10.34
